2024-06-09 14:35:11,104.hm_producer.INFO ==================================================
2024-06-09 14:35:11,104.hm_producer.INFO Today is 2024-06-09 at 02:35 PM
2024-06-09 14:35:11,106.hm_producer.INFO Running on: nt Windows 10
2024-06-09 14:35:11,107.hm_producer.INFO Python version:  3.10.9
2024-06-09 14:35:11,108.hm_producer.INFO Python path: C:\Users\Hayley\anaconda3
2024-06-09 14:35:11,109.hm_producer.INFO Working dir: C:\Users\Hayley\Documents\streaming-06-smart-smoker
2024-06-09 14:35:11,110.hm_producer.INFO ==================================================
2024-06-09 14:35:13,109.hm_producer.INFO Sent message to smokerA: ('05/22/21 12:20:15', 84.2)
2024-06-09 14:35:13,163.hm_producer.INFO Sent message to smokerA: ('05/22/21 12:20:20', 84.2)
2024-06-09 14:35:13,250.hm_producer.INFO Sent message to smokerA: ('05/22/21 12:21:10', 87.6)
2024-06-09 14:35:13,295.hm_producer.INFO Sent message to smokerA: ('05/22/21 12:21:15', 87.6)
2024-06-09 14:35:13,324.hm_producer.INFO Sent message to smokerA: ('05/22/21 12:22:10', 86.3)
2024-06-09 14:35:13,353.hm_producer.INFO Sent message to smokerA: ('05/22/21 12:22:15', 86.3)
2024-06-09 14:35:13,377.hm_producer.INFO Sent message to smokerA: ('05/22/21 12:23:10', 92.0)
2024-06-09 14:35:13,407.hm_producer.INFO Sent message to smokerA: ('05/22/21 12:23:15', 92.0)
2024-06-09 14:35:13,435.hm_producer.INFO Sent message to smokerA: ('05/22/21 12:24:10', 96.8)
2024-06-09 14:35:13,463.hm_producer.INFO Sent message to smokerA: ('05/22/21 12:24:15', 96.8)
2024-06-09 14:35:13,491.hm_producer.INFO Sent message to smokerA: ('05/22/21 12:25:05', 100.6)
2024-06-09 14:35:13,522.hm_producer.INFO Sent message to smokerA: ('05/22/21 12:25:10', 100.9)
2024-06-09 14:35:13,554.hm_producer.INFO Sent message to smokerA: ('05/22/21 12:25:15', 100.9)
2024-06-09 14:35:13,585.hm_producer.INFO Sent message to smokerA: ('05/22/21 12:26:10', 104.8)
2024-06-09 14:35:13,616.hm_producer.INFO Sent message to smokerA: ('05/22/21 12:26:15', 104.8)
2024-06-09 14:35:13,648.hm_producer.INFO Sent message to smokerA: ('05/22/21 12:27:10', 108.2)
2024-06-09 14:35:13,685.hm_producer.INFO Sent message to smokerA: ('05/22/21 12:27:15', 108.2)
2024-06-09 14:35:13,729.hm_producer.INFO Sent message to smokerA: ('05/22/21 12:28:10', 111.4)
2024-06-09 14:35:13,766.hm_producer.INFO Sent message to smokerA: ('05/22/21 12:28:15', 111.4)
